asset,optimal_weight,portfolio_expected_return,portfolio_volatility,portfolio_sharpe
GLOBAL_EQUITY,0.0,0.0444,0.006554,2.959849
KOREA_EQUITY,0.2,0.0444,0.006554,2.959849
US_BOND,0.6,0.0444,0.006554,2.959849
ALT_RISK_PREMIA,0.2,0.0444,0.006554,2.959849
